                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6022,                 3.7016,                 1.6736,                0.00367,                0.58974,                0.05192,                0.01899,                 1.5407,                 4.2386,                 1.7028,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.5192,                 3.4492,                 1.5818,                0.00503,                0.68519,                 0.2499,                0.11051,                 1.3988,                 3.9409,                 1.4586,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 1.3083,                 3.0216,                  1.334,                0.00627,                0.77778,                0.49748,                0.32219,                 1.2595,                  3.594,                 1.1579,             0.00015408,             0.00015408,             0.00015408
                      4,                  1.307,                 2.2591,                 1.3231,                      1,                0.08238,                0.45999,                 0.2942,                 1.4309,                 3.3341,                 1.2821,             0.00020798,             0.00020798,             0.00020798
                      5,                 1.2007,                 1.7291,                 1.2254,                0.94806,                0.07692,                0.57639,                0.37551,                 1.4385,                 3.2142,                 1.3127,             0.00026076,             0.00026076,             0.00026076
                      6,                 1.2016,                  1.657,                  1.224,                0.00889,                0.81481,                0.62758,                 0.4168,                 1.3746,                 3.1032,                 1.2518,              0.0003124,              0.0003124,              0.0003124
                      7,                 1.2423,                 1.5084,                 1.2297,                0.51195,                0.65242,                0.64511,                0.39771,                 1.3476,                 3.0964,                 1.2116,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.2317,                 1.4936,                 1.2522,                0.99354,                0.47622,                0.68293,                0.39433,                 1.4625,                 2.9906,                 1.2576,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.1741,                  1.462,                   1.18,                      1,                0.63987,                0.71837,                0.43608,                 1.4633,                 2.8013,                 1.2983,             0.00046054,             0.00046054,             0.00046054
                     10,                  1.232,                 1.3935,                 1.2127,                0.90925,                0.45614,                0.74483,                0.44588,                  1.387,                 2.6447,                 1.2358,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.2327,                 1.3174,                 1.2169,                0.82429,                0.53081,                0.72519,                 0.4696,                 1.4367,                 2.5782,                 1.2426,             0.00055364,             0.00055364,             0.00055364
                     12,                 1.2037,                 1.2332,                 1.1701,                  0.944,                0.66667,                0.71663,                0.46854,                 1.4307,                 2.5345,                 1.2704,             0.00059849,             0.00059849,             0.00059849
                     13,                 1.1808,                 1.2731,                 1.2042,                0.96244,                0.57668,                0.82401,                0.56486,                 1.4005,                 2.5553,                 1.2805,             0.00064221,             0.00064221,             0.00064221
                     14,                 1.1797,                 1.1609,                 1.1386,                0.97412,                0.52832,                0.76976,                0.53677,                 1.4141,                 2.5415,                 1.2708,              0.0006848,              0.0006848,              0.0006848
                     15,                 1.1941,                 1.2561,                 1.2276,                0.99823,                0.65378,                0.70491,                0.47066,                 1.4384,                 2.6295,                 1.2331,             0.00072625,             0.00072625,             0.00072625
                     16,                 1.1311,                 1.1958,                 1.1586,                0.97214,                0.69045,                0.80376,                0.48352,                 1.5143,                  2.481,                 1.2671,             0.00076658,             0.00076658,             0.00076658
                     17,                 1.2435,                 1.1679,                 1.1925,                0.92162,                0.71537,                0.86778,                0.54502,                 1.4261,                 2.3014,                 1.2117,             0.00080577,             0.00080577,             0.00080577
                     18,                  1.168,                 1.1896,                 1.1443,                0.89046,                0.75344,                0.89249,                0.55397,                 1.4425,                  2.244,                  1.192,             0.00084383,             0.00084383,             0.00084383
