                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4918,                 3.2505,                 1.4761,                0.01526,                0.52963,                0.04116,                0.01186,                 2.2366,                   4.25,                 1.6955,                0.09208,                  8e-05,                  8e-05
                      2,                 1.6104,                 2.7319,                 1.4757,                0.01522,                0.57778,                0.10325,                0.05141,                 1.9954,                 3.6671,                 1.5507,               0.083169,             0.00016888,             0.00016888
                      3,                  1.409,                 2.2748,                 1.3147,                0.01335,                0.68519,                0.11852,                0.05194,                 1.8682,                  3.398,                 1.4829,               0.074257,             0.00025657,             0.00025657
                      4,                 1.4495,                 1.9877,                 1.3198,                0.05559,                0.88889,                0.45013,                0.23432,                 1.7791,                 3.0297,                 1.4297,               0.065343,             0.00034307,             0.00034307
                      5,                 1.4388,                 1.7314,                 1.3476,                      1,                0.21214,                0.60049,                0.30864,                 1.8285,                  2.839,                   1.43,               0.056428,             0.00042838,             0.00042838
                      6,                 1.4185,                 1.5502,                 1.3206,                 0.9657,                0.35006,                0.63109,                0.36005,                 1.7459,                 2.5072,                 1.3594,               0.047513,             0.00051251,             0.00051251
                      7,                  1.492,                 1.5606,                 1.3869,                0.84759,                0.45111,                0.72871,                0.40813,                 1.7107,                 2.1376,                 1.3553,               0.038595,             0.00059545,             0.00059545
                      8,                 1.4808,                 1.4602,                 1.3666,                0.80898,                0.65926,                0.78662,                0.39164,                 1.9054,                 1.8212,                 1.5164,               0.029677,              0.0006772,              0.0006772
                      9,                  1.446,                 1.4352,                 1.3445,                0.69028,                0.65112,                0.75737,                0.39924,                 1.8584,                 1.6708,                 1.4427,               0.020758,             0.00075776,             0.00075776
                     10,                  1.472,                 1.2792,                 1.3002,                 0.8357,                0.55387,                0.77635,                0.43122,                 1.7135,                 1.5908,                 1.3556,               0.011837,             0.00083713,             0.00083713
                     11,                 1.4736,                 1.4013,                 1.3605,                0.58744,                0.65077,                0.64496,                0.35115,                 1.6355,                 1.6214,                 1.2977,              0.0029153,             0.00091532,             0.00091532
                     12,                 1.3891,                 1.4298,                 1.3322,                0.67855,                0.76195,                0.74692,                0.41071,                 1.7787,                 1.5858,                 1.3876,              0.0009274,              0.0009274,              0.0009274
                     13,                 1.3639,                  1.355,                 1.2837,                 0.7511,                0.80186,                0.90268,                0.53529,                 1.6579,                   1.48,                 1.3705,              0.0009274,              0.0009274,              0.0009274
                     14,                 1.3838,                 1.3183,                 1.3452,                 0.8699,                0.86925,                0.92856,                0.55264,                 1.6214,                 1.3415,                 1.3614,              0.0009208,              0.0009208,              0.0009208
                     15,                  1.456,                 1.3247,                 1.3814,                0.85999,                 0.9385,                0.94767,                0.55797,                 1.6533,                  1.229,                 1.3509,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.3882,                 1.2658,                 1.3326,                0.92891,                0.91437,                0.96336,                0.55893,                 1.6515,                 1.1993,                 1.3456,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.4562,                 1.2857,                 1.4277,                0.93893,                0.90741,                0.97064,                0.52229,                 1.8173,                 1.2721,                 1.4456,               0.000901,               0.000901,               0.000901
                     18,                 1.3799,                 1.2301,                 1.3365,                0.80666,                0.89377,                0.92621,                0.45256,                 1.9652,                 1.4412,                 1.5513,              0.0008944,              0.0008944,              0.0008944
                     19,                 1.4987,                 1.4436,                 1.4077,                0.90108,                0.92361,                0.96226,                0.46891,                 1.9192,                 1.2938,                 1.4734,              0.0008878,              0.0008878,              0.0008878
                     20,                 1.4538,                  1.363,                 1.3917,                0.91403,                0.83704,                0.95193,                0.49517,                 1.7594,                 1.2074,                 1.3692,              0.0008812,              0.0008812,              0.0008812
                     21,                 1.3491,                 1.1394,                 1.2577,                0.90055,                 0.9066,                0.96398,                0.53991,                 1.6274,                  1.287,                 1.3235,              0.0008746,              0.0008746,              0.0008746
                     22,                 1.4024,                 1.2027,                 1.2983,                0.92721,                0.97417,                0.98326,                0.54778,                 1.6441,                 1.2893,                 1.3321,               0.000868,               0.000868,               0.000868
                     23,                  1.385,                 1.3121,                 1.3686,                0.94399,                0.98148,                0.99033,                0.51373,                 1.7445,                 1.2217,                 1.3665,              0.0008614,              0.0008614,              0.0008614
                     24,                 1.4157,                 1.2308,                 1.3069,                 0.9206,                0.98148,                  0.986,                0.45584,                 1.8502,                  1.162,                 1.4486,              0.0008548,              0.0008548,              0.0008548
                     25,                 1.4304,                 1.3365,                  1.364,                0.87927,                0.98148,                0.96748,                0.43922,                 1.9489,                 1.1914,                 1.5129,              0.0008482,              0.0008482,              0.0008482
                     26,                 1.4433,                 1.3032,                 1.3353,                0.91185,                0.97855,                0.96027,                0.44233,                 1.9557,                  1.255,                 1.5053,              0.0008416,              0.0008416,              0.0008416
                     27,                 1.4211,                 1.2722,                 1.3223,                0.93151,                0.95384,                0.96051,                0.54857,                 1.5978,                 1.0946,                 1.2798,               0.000835,               0.000835,               0.000835
                     28,                 1.4067,                  1.234,                 1.3435,                0.94105,                0.95263,                0.98545,                0.59069,                 1.4708,                 1.0477,                 1.2077,              0.0008284,              0.0008284,              0.0008284
                     29,                 1.3932,                 1.2273,                 1.3313,                0.93251,                0.96793,                0.98402,                0.62438,                 1.4188,                 1.0983,                  1.182,              0.0008218,              0.0008218,              0.0008218
                     30,                 1.3176,                 1.1639,                 1.2091,                0.89111,                0.96361,                0.95813,                0.56566,                  1.468,                  1.173,                 1.2079,              0.0008152,              0.0008152,              0.0008152
                     31,                 1.4007,                  1.258,                 1.3357,                0.90005,                0.96296,                0.96422,                0.52711,                  1.608,                 1.2093,                 1.2822,              0.0008086,              0.0008086,              0.0008086
                     32,                  1.309,                 1.1281,                 1.2716,                 0.9002,                0.96296,                0.96094,                0.49173,                  1.685,                 1.1625,                 1.3287,               0.000802,               0.000802,               0.000802
                     33,                  1.346,                  1.169,                 1.2694,                 0.9343,                0.95837,                0.97761,                0.53701,                 1.6108,                 1.0839,                 1.3017,              0.0007954,              0.0007954,              0.0007954
                     34,                 1.2956,                 1.1414,                 1.2627,                0.91129,                0.94373,                0.97947,                0.55458,                 1.6248,                 1.0492,                 1.3178,              0.0007888,              0.0007888,              0.0007888
                     35,                 1.2829,                 1.1179,                 1.3252,                0.95054,                0.94209,                0.97561,                0.59269,                  1.459,                0.95758,                 1.2751,              0.0007822,              0.0007822,              0.0007822
                     36,                 1.3744,                 1.1424,                 1.2977,                0.93313,                0.94641,                0.97405,                0.61781,                 1.3642,                 0.9405,                 1.2265,              0.0007756,              0.0007756,              0.0007756
                     37,                 1.4167,                 1.1473,                 1.3191,                0.92865,                0.96296,                0.98404,                0.64544,                 1.3153,                0.90674,                 1.1956,               0.000769,               0.000769,               0.000769
